"","ewp_name","risk.2025and2026.from2024","rank.2025and2026.from2025","risk.2025only.from2024","riskrank.2025only.from2024","risk.2024and2025.from2023","rank.2024and2025.from2023","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"42","South Africa",0.02212,42,0.01141,45,0.02386,39,0,0,0,0,0,0,1,0,1,4,0,0.833,0,0,0,1,1.3,25.93,-0.6691,4.782,0.856,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,6.845,1,560
"43","Kenya",0.02123,43,0.01198,41,0.02178,44,0,0,0,0,0,0,1,0,1,4,0,0.924,0,0,0,1,0.21,25.75,2.471,5.388,0.855,0.06,0,0,0,0,0,0,5.728,0,0,0,0,0,0,4097000,2024,5.954,1,501
"44","Cameroon",0.02051,44,0.01291,34,0.02216,43,0,0,0,1,0,0,1,1,1,4,0,0.716,0,0,0,1,-0.301,24.8,0.9972,6.791,0.86,0,0,0,0,0,0,1,7.858,0,0,0,0,0,0,4097000,2024,6,1,471
"45","Sierra Leone",0.02041,45,0.01141,44,0.02079,46,0,0,0,0,0,0,1,0,1,4,0,0.881,0,0,0,0,1.048,23.04,1.816,8.398,0.801,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,6,1,451
"46","Malawi",0.01958,46,0.01032,47,0.02142,45,0,0,0,0,0,0,1,0,1,4,0,0.833,0,0,0,1,0.359,24.37,-0.7631,5.362,0.791,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,5.931,1,553
"47","Liberia",0.01907,47,0.0102,50,0.01924,47,0,0,0,0,0,0,1,0,1,4,0,0.942,0,0,0,0,1.123,22.42,2.556,7.42,0.889,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,7.476,1,450
"48","Sri Lanka",0.0187,48,0.009849,51,0.008555,79,0,0,0,0,0,0,1,0,1,4,0,0.923,0,0,0,1,0.962,24.39,5.588,2.231,0.323,0.11,0,0,1,0,0,1,0,0,0,4,0,0,1,4097000,2024,6.267,1,780
"49","Democratic Republic of Vietnam",0.01854,49,0.01029,48,0.01859,48,0,0,0,1,1,0,0,1,1,1,0,0.268,0,0,1,1,1.149,26.59,6.417,3.831,0.263,0,0,1,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,6.15,1,816
"50","Gabon",0.01714,50,0.009609,52,0.01739,50,0,0,0,1,0,0,1,1,1,4,0,0.947,0,0,0,1,0.747,21.28,1.178,5.166,0.789,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4097000,2024,5.907,1,481
"51","Libya",0.01649,51,0.008841,54,0.01759,49,0,0,1,1,0,1,0,0,1,1,0,0.44,0,0,0,1,-0.03,22.82,-1.621,3.483,0.259,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4097000,2024,6.209,1,620
